unit	files	lines	class_key	in_build
src/data_plane/api/data_plane/ob_i_range_service	src/data_plane/api/data_plane/ob_i_range_service.h	57	oceanbase::data_plane::ObIRangeService	yes
src/data_plane/api/data_plane/ob_i_storage_estimator	src/data_plane/api/data_plane/ob_i_storage_estimator.h	68	oceanbase::data_plane::ObIStorageEstimator	yes
src/data_plane/api/data_plane/ob_i_write_context_service	src/data_plane/api/data_plane/ob_i_write_context_service.h	96	oceanbase::data_plane::ObIWriteContextService	yes
src/data_plane/api/data_plane/ob_inner_sql_transmit_arg	src/data_plane/api/data_plane/ob_inner_sql_transmit_arg.h	195	oceanbase::obcall::ObInnerSQLTransmitArg	yes
src/data_plane/api/data_plane/ob_log_service_handler	src/data_plane/api/data_plane/ob_log_service_handler.h	62	oceanbase::data_plane::ObLogServiceHandler	yes
src/data_plane/api/data_plane/report/ob_i_disk_report	src/data_plane/api/data_plane/report/ob_i_disk_report.h	40	oceanbase::data_plane::ObIDiskReport	yes
src/data_plane/api/data_plane/scheduler/ob_dag_scheduler_config	src/data_plane/api/data_plane/scheduler/ob_dag_scheduler_config.h	208	oceanbase::share::ObDagPrioStruct	yes
src/data_plane/api/data_plane/scheduler/ob_diagnose_config	src/data_plane/api/data_plane/scheduler/ob_diagnose_config.h	118	oceanbase::share::ObDiagnoseInfoStruct	yes
src/data_plane/api/data_plane/scheduler/ob_sys_task_type	src/data_plane/api/data_plane/scheduler/ob_sys_task_type.h	49	-	yes
src/data_plane/api/data_plane/tablelock/ob_table_lock_mode	src/data_plane/api/data_plane/tablelock/ob_table_lock_mode.h	44	-	yes
src/data_plane/api/data_plane/tablelock/ob_table_lock_target	src/data_plane/api/data_plane/tablelock/ob_table_lock_target.h	52	oceanbase::data_plane::ObTableLockTarget	yes
src/data_plane/api/data_plane/transaction/ob_i_read_timestamp_service	src/data_plane/api/data_plane/transaction/ob_i_read_timestamp_service.h	40	oceanbase::data_plane::ObIReadTimestampService	yes
src/data_plane/api/data_plane/transaction/ob_i_tx_callback	src/data_plane/api/data_plane/transaction/ob_i_tx_callback.h	37	oceanbase::transaction::ObITxCallback	yes
src/data_plane/api/data_plane/transaction/ob_transaction_statistic	src/data_plane/api/data_plane/transaction/ob_transaction_statistic.h	31	-	no
src/data_plane/api/data_plane/transaction/ob_transaction_version	src/data_plane/api/data_plane/transaction/ob_transaction_version.h	38	oceanbase::transaction::ObTransVersion	yes
src/data_plane/api/data_plane/transaction/ob_tx_seq	src/data_plane/api/data_plane/transaction/ob_tx_seq.h,src/storage/tx/ob_tx_seq.h	213	oceanbase::transaction::ObTxSEQ	yes
src/data_plane/api/data_plane/transaction/ob_virtual_tx_data	src/data_plane/api/data_plane/transaction/ob_virtual_tx_data.h	52	oceanbase::data_plane::ObVirtualTxDataRow	yes
src/data_plane/api/data_plane/transaction/ob_xa_id	src/data_plane/api/data_plane/transaction/ob_xa_id.h	145	ObXADefault	yes
src/data_plane/api/data_plane/vector/ob_i_vector_memory	src/data_plane/api/data_plane/vector/ob_i_vector_memory.h	40	oceanbase::data_plane::ObIVectorMemory	yes
src/data_plane/api/data_plane/vector/ob_vector_index_names	src/data_plane/api/data_plane/vector/ob_vector_index_names.h	37	ObVectorIndexNames	yes
src/data_plane/api/data_plane/vector/ob_vector_metric	src/data_plane/api/data_plane/vector/ob_vector_metric.h	84	oceanbase::share::ObVectorDistanceDispatch	yes
src/data_plane/api/data_plane/vector/ob_vector_op_common	src/data_plane/api/data_plane/vector/ob_vector_op_common.h,src/storage/vector_type/ob_vector_op_common.h	94	-	yes
src/data_plane/api/data_plane/vector/ob_vector_pq_coder	src/data_plane/api/data_plane/vector/ob_vector_pq_coder.h,src/storage/vector_type/ob_vector_pq_coder.h	104	PQDecoder	yes
src/data_plane/ob_parallel_range_task_planner	src/data_plane/api/data_plane/access/ob_parallel_range_task_planner.h,src/data_plane/ob_parallel_range_task_planner.cpp	128	oceanbase::data_plane::ObParallelRangeTaskPlanner	yes
src/data_plane/ob_tablet_scan	src/data_plane/api/data_plane/access/ob_tablet_scan.h,src/data_plane/ob_tablet_scan.cpp	634	oceanbase::common::ObLimitParam	yes
src/logservice/applyservice/ob_log_apply_service	src/logservice/applyservice/ob_log_apply_service.cpp,src/logservice/applyservice/ob_log_apply_service.h	1631	oceanbase::logservice::ObLogApplyService	yes
src/logservice/common_util/ob_log_time_utils	src/logservice/common_util/ob_log_time_utils.cpp,src/logservice/common_util/ob_log_time_utils.h	218	HumanTstampConverter	yes
src/logservice/localservice/ob_local_log_handler_set	src/logservice/localservice/ob_local_log_handler_set.cpp,src/logservice/localservice/ob_local_log_handler_set.h	201	oceanbase::logservice::ObLocalLogHandlerSet	yes
src/logservice/ob_append_callback	src/logservice/ob_append_callback.cpp,src/logservice/ob_append_callback.h	126	oceanbase::logservice::AppendCbBase	yes
src/logservice/ob_i_log_storage	src/logservice/ob_i_log_storage.h	46	oceanbase::logservice::ObILogStorage	yes
src/logservice/ob_log_allocator	src/logservice/ob_log_allocator.cpp,src/logservice/ob_log_allocator.h	430	oceanbase::common::ObLogAllocator	yes
src/logservice/ob_log_allocator_mgr	src/logservice/ob_log_allocator_mgr.cpp,src/logservice/ob_log_allocator_mgr.h	264	oceanbase::common::ObLogAllocatorMgr	yes
src/logservice/ob_log_handler	src/logservice/ob_log_handler.cpp,src/logservice/ob_log_handler.h	1132	oceanbase::logservice::ObLogHandler	yes
src/logservice/ob_log_monitor	src/logservice/ob_log_monitor.cpp,src/logservice/ob_log_monitor.h	137	oceanbase::logservice::ObLogMonitor	yes
src/logservice/ob_log_service	src/logservice/ob_log_service.cpp,src/logservice/ob_log_service.h	818	oceanbase::logservice::ObLogService	yes
src/logservice/ob_server_log_block_mgr	src/logservice/ob_server_log_block_mgr.cpp,src/logservice/ob_server_log_block_mgr.h	753	oceanbase::logservice::ObServerLogBlockMgr	yes
src/logservice/palf/block_gc_timer_task	src/logservice/palf/block_gc_timer_task.cpp,src/logservice/palf/block_gc_timer_task.h	140	oceanbase::palf::BlockGCTimerTask	yes
src/logservice/palf/fixed_sliding_window	src/logservice/palf/fixed_sliding_window.h	502	oceanbase::palf::FixedSlidingWindow	yes
src/logservice/palf/log_block_handler	src/logservice/palf/log_block_handler.cpp,src/logservice/palf/log_block_handler.h	628	oceanbase::palf::LogBlockHandler	yes
src/logservice/palf/log_block_header	src/logservice/palf/log_block_header.cpp,src/logservice/palf/log_block_header.h	256	oceanbase::palf::LogBlockHeader	yes
src/logservice/palf/log_block_mgr	src/logservice/palf/log_block_mgr.cpp,src/logservice/palf/log_block_mgr.h	608	oceanbase::palf::LogBlockMgr	yes
src/logservice/palf/log_block_pool_interface	src/logservice/palf/log_block_pool_interface.cpp,src/logservice/palf/log_block_pool_interface.h	225	oceanbase::palf::ILogBlockPool	yes
src/logservice/palf/log_cache	src/logservice/palf/log_cache.cpp,src/logservice/palf/log_cache.h	268	oceanbase::palf::LogCache	yes
src/logservice/palf/log_checksum	src/logservice/palf/log_checksum.cpp,src/logservice/palf/log_checksum.h	194	oceanbase::palf::LogChecksum	yes
src/logservice/palf/log_engine	src/logservice/palf/log_engine.cpp,src/logservice/palf/log_engine.h	1417	oceanbase::palf::LogEngine	yes
src/logservice/palf/log_entry	src/logservice/palf/log_entry.cpp,src/logservice/palf/log_entry.h	171	oceanbase::palf::LogEntry	yes
src/logservice/palf/log_entry_header	src/logservice/palf/log_entry_header.cpp,src/logservice/palf/log_entry_header.h	384	oceanbase::palf::LogEntryHeader	yes
src/logservice/palf/log_group_buffer	src/logservice/palf/log_group_buffer.cpp,src/logservice/palf/log_group_buffer.h	628	oceanbase::palf::LogGroupBuffer	yes
src/logservice/palf/log_group_entry	src/logservice/palf/log_group_entry.cpp,src/logservice/palf/log_group_entry.h	219	oceanbase::palf::LogGroupEntry	yes
src/logservice/palf/log_group_entry_header	src/logservice/palf/log_group_entry_header.cpp,src/logservice/palf/log_group_entry_header.h	536	oceanbase::palf::LogGroupEntryHeader	yes
src/logservice/palf/log_io_adapter	src/logservice/palf/log_io_adapter.cpp,src/logservice/palf/log_io_adapter.h	384	oceanbase::palf::LogIOAdapter	yes
src/logservice/palf/log_io_context	src/logservice/palf/log_io_context.cpp,src/logservice/palf/log_io_context.h	152	oceanbase::palf::LogIOContext	yes
src/logservice/palf/log_io_task	src/logservice/palf/log_io_task.cpp,src/logservice/palf/log_io_task.h	838	oceanbase::palf::LogIOTask	yes
src/logservice/palf/log_io_task_cb_thread_pool	src/logservice/palf/log_io_task_cb_thread_pool.cpp,src/logservice/palf/log_io_task_cb_thread_pool.h	199	oceanbase::palf::LogIOTaskCbThreadPool	yes
src/logservice/palf/log_io_task_cb_utils	src/logservice/palf/log_io_task_cb_utils.cpp,src/logservice/palf/log_io_task_cb_utils.h	218	oceanbase::palf::FlushLogCbCtx	yes
src/logservice/palf/log_io_utils	src/logservice/palf/log_io_utils.cpp,src/logservice/palf/log_io_utils.h	612	oceanbase::palf::GetBlockCountFunctor	yes
src/logservice/palf/log_io_worker	src/logservice/palf/log_io_worker.cpp,src/logservice/palf/log_io_worker.h	561	oceanbase::palf::LogIOWorker	yes
src/logservice/palf/log_io_worker_wrapper	src/logservice/palf/log_io_worker_wrapper.cpp,src/logservice/palf/log_io_worker_wrapper.h	168	oceanbase::palf::LogIOWorkerWrapper	yes
src/logservice/palf/log_iterator_impl	src/logservice/palf/log_iterator_impl.h	907	oceanbase::palf::LogIteratorImpl	yes
src/logservice/palf/log_iterator_info	src/logservice/palf/log_iterator_info.h	103	oceanbase::palf::LogIteratorInfo	yes
src/logservice/palf/log_iterator_storage	src/logservice/palf/log_iterator_storage.cpp,src/logservice/palf/log_iterator_storage.h	379	oceanbase::palf::IteratorStorage	yes
src/logservice/palf/log_loop_thread	src/logservice/palf/log_loop_thread.cpp,src/logservice/palf/log_loop_thread.h	184	oceanbase::palf::LogLoopThread	yes
src/logservice/palf/log_meta	src/logservice/palf/log_meta.cpp,src/logservice/palf/log_meta.h	210	oceanbase::palf::LogMeta	yes
src/logservice/palf/log_meta_entry	src/logservice/palf/log_meta_entry.cpp,src/logservice/palf/log_meta_entry.h	193	oceanbase::palf::LogMetaEntry	yes
src/logservice/palf/log_meta_entry_header	src/logservice/palf/log_meta_entry_header.cpp,src/logservice/palf/log_meta_entry_header.h	286	oceanbase::palf::LogMetaEntryHeader	yes
src/logservice/palf/log_meta_info	src/logservice/palf/log_meta_info.cpp,src/logservice/palf/log_meta_info.h	322	oceanbase::palf::LogSnapshotMeta	yes
src/logservice/palf/log_mode_mgr	src/logservice/palf/log_mode_mgr.cpp,src/logservice/palf/log_mode_mgr.h	146	oceanbase::palf::LogModeMgr	yes
src/logservice/palf/log_reader	src/logservice/palf/log_reader.cpp,src/logservice/palf/log_reader.h	291	oceanbase::palf::LogReader	yes
src/logservice/palf/log_reader_utils	src/logservice/palf/log_reader_utils.cpp,src/logservice/palf/log_reader_utils.h	188	oceanbase::palf::ReadBuf	yes
src/logservice/palf/log_shared_queue_thread	src/logservice/palf/log_shared_queue_thread.cpp,src/logservice/palf/log_shared_queue_thread.h	238	oceanbase::palf::LogSharedQueueTh	yes
src/logservice/palf/log_shared_task	src/logservice/palf/log_shared_task.cpp,src/logservice/palf/log_shared_task.h	152	oceanbase::palf::LogSharedTask	yes
src/logservice/palf/log_sliding_window	src/logservice/palf/log_sliding_window.cpp,src/logservice/palf/log_sliding_window.h	2205	oceanbase::palf::LogSlidingWindow	yes
src/logservice/palf/log_state_mgr	src/logservice/palf/log_state_mgr.cpp,src/logservice/palf/log_state_mgr.h	247	oceanbase::palf::LogStateMgr	yes
src/logservice/palf/log_storage	src/logservice/palf/log_storage.cpp,src/logservice/palf/log_storage.h	1188	oceanbase::palf::LogStorage	yes
src/logservice/palf/log_storage_interface	src/logservice/palf/log_storage_interface.h	68	oceanbase::palf::ILogStorage	yes
src/logservice/palf/log_task	src/logservice/palf/log_task.cpp,src/logservice/palf/log_task.h	585	oceanbase::palf::LogTask	yes
src/logservice/palf/log_throttle	src/logservice/palf/log_throttle.cpp,src/logservice/palf/log_throttle.h	386	oceanbase::palf::LogWritingThrottle	yes
src/logservice/palf/log_writer_utils	src/logservice/palf/log_writer_utils.cpp,src/logservice/palf/log_writer_utils.h	257	oceanbase::palf::LogWriteBuf	yes
src/logservice/palf/lsn_allocator	src/logservice/palf/lsn_allocator.cpp,src/logservice/palf/lsn_allocator.h	639	oceanbase::palf::LSNAllocator	yes
src/logservice/palf/palf_callback	src/logservice/palf/palf_callback.h	55	oceanbase::palf::PalfFSCb	yes
src/logservice/palf/palf_callback_wrapper	src/logservice/palf/palf_callback_wrapper.cpp,src/logservice/palf/palf_callback_wrapper.h	197	oceanbase::palf::PalfFSCbWrapper	yes
src/logservice/palf/palf_env	src/logservice/palf/palf_env.cpp,src/logservice/palf/palf_env.h	289	oceanbase::palf::PalfEnv	yes
src/logservice/palf/palf_env_impl	src/logservice/palf/palf_env_impl.cpp,src/logservice/palf/palf_env_impl.h	1337	oceanbase::palf::PalfEnvImpl	yes
src/logservice/palf/palf_handle	src/logservice/palf/palf_handle.cpp,src/logservice/palf/palf_handle.h	498	oceanbase::palf::PalfHandle	yes
src/logservice/palf/palf_handle_impl	src/logservice/palf/palf_handle_impl.cpp,src/logservice/palf/palf_handle_impl.h	1800	oceanbase::palf::PalfHandleImpl	yes
src/logservice/palf/palf_handle_impl_guard	src/logservice/palf/palf_handle_impl_guard.cpp,src/logservice/palf/palf_handle_impl_guard.h	99	oceanbase::palf::IPalfHandleImplGuard	yes
src/logservice/palf/palf_iterator	src/logservice/palf/palf_iterator.h	300	oceanbase::palf::PalfIterator	yes
src/logservice/palf_handle_guard	src/logservice/palf_handle_guard.h	133	oceanbase::palf::PalfHandleGuard	yes
src/logservice/replayservice/ob_log_replay_service	src/logservice/replayservice/ob_log_replay_service.cpp,src/logservice/replayservice/ob_log_replay_service.h	1595	oceanbase::logservice::ObLogReplayService	yes
src/logservice/replayservice/ob_replay_handler	src/logservice/replayservice/ob_replay_handler.cpp,src/logservice/replayservice/ob_replay_handler.h	157	oceanbase::logservice::ObReplayHandler	yes
src/logservice/replayservice/ob_replay_status	src/logservice/replayservice/ob_replay_status.cpp,src/logservice/replayservice/ob_replay_status.h	2007	oceanbase::logservice::ObReplayStatus	yes
src/objit/include/objit/common/ob_item_type	src/objit/include/objit/common/ob_item_type.h	2486	-	yes
src/oblib/common/cell/ob_cell_reader	src/oblib/common/cell/ob_cell_reader.cpp,src/oblib/common/cell/ob_cell_reader.h	567	oceanbase::common::ObCellReader	yes
src/oblib/common/cell/ob_cell_writer	src/oblib/common/cell/ob_cell_writer.cpp,src/oblib/common/cell/ob_cell_writer.h	704	oceanbase::common::ObCellWriter	yes
src/oblib/common/datum/ob_datum	src/oblib/common/datum/ob_datum.cpp,src/oblib/common/datum/ob_datum.h	1236	oceanbase::common::ObDatum	yes
src/oblib/common/enumset/ob_enum_set_meta	src/oblib/common/enumset/ob_enum_set_meta.cpp,src/oblib/common/enumset/ob_enum_set_meta.h	279	oceanbase::common::ObEnumSetMeta	yes
src/oblib/common/expression/ob_expr_string_buf	src/oblib/common/expression/ob_expr_string_buf.h	30	-	yes
src/oblib/common/json_type/ob_json_base	src/oblib/common/json_type/ob_json_base.cpp,src/oblib/common/json_type/ob_json_base.h	8037	oceanbase::common::ObIJsonBase	yes
src/oblib/common/json_type/ob_json_bin	src/oblib/common/json_type/ob_json_bin.cpp,src/oblib/common/json_type/ob_json_bin.h	5892	oceanbase::common::ObJsonBin	yes
src/oblib/common/json_type/ob_json_common	src/oblib/common/json_type/ob_json_common.h	29	-	yes
src/oblib/common/json_type/ob_json_diff	src/oblib/common/json_type/ob_json_diff.cpp,src/oblib/common/json_type/ob_json_diff.h	381	oceanbase::common::ObJsonDiff	yes
src/oblib/common/json_type/ob_json_parse	src/oblib/common/json_type/ob_json_parse.cpp,src/oblib/common/json_type/ob_json_parse.h	853	oceanbase::common::ObRapidJsonHandler	yes
src/oblib/common/json_type/ob_json_path	src/oblib/common/json_type/ob_json_path.cpp,src/oblib/common/json_type/ob_json_path.h	4620	oceanbase::common::ObJsonPath	yes
src/oblib/common/json_type/ob_json_schema	src/oblib/common/json_type/ob_json_schema.cpp,src/oblib/common/json_type/ob_json_schema.h	4627	oceanbase::common::ObJsonSchemaTree	yes
src/oblib/common/json_type/ob_json_tree	src/oblib/common/json_type/ob_json_tree.cpp,src/oblib/common/json_type/ob_json_tree.h	2126	oceanbase::common::ObJsonNode	yes
src/oblib/common/lob/ob_lob_base	src/oblib/common/lob/ob_lob_base.cpp,src/oblib/common/lob/ob_lob_base.h	472	oceanbase::common::ObILobCursor	yes
src/oblib/common/log/ob_log_constants	src/oblib/common/log/ob_log_constants.h	40	oceanbase::common::ObLogConstants	yes
src/oblib/common/log/ob_log_cursor	src/oblib/common/log/ob_log_cursor.cpp,src/oblib/common/log/ob_log_cursor.h	215	oceanbase::common::ObLogCursor	yes
src/oblib/common/log/ob_log_data_writer	src/oblib/common/log/ob_log_data_writer.cpp,src/oblib/common/log/ob_log_data_writer.h	346	oceanbase::common::ObLogDataWriter	yes
src/oblib/common/log/ob_log_dir_scanner	src/oblib/common/log/ob_log_dir_scanner.cpp,src/oblib/common/log/ob_log_dir_scanner.h	342	oceanbase::common::ObLogDirScanner	yes
src/oblib/common/log/ob_log_entry	src/oblib/common/log/ob_log_entry.cpp,src/oblib/common/log/ob_log_entry.h	344	oceanbase::common::ObLogEntry	yes
src/oblib/common/log/ob_log_generator	src/oblib/common/log/ob_log_generator.cpp,src/oblib/common/log/ob_log_generator.h	361	oceanbase::common::ObLogGenerator	yes
src/oblib/common/log/ob_log_reader	src/oblib/common/log/ob_log_reader.cpp,src/oblib/common/log/ob_log_reader.h	294	oceanbase::common::ObLogReader	yes
src/oblib/common/log/ob_single_log_reader	src/oblib/common/log/ob_single_log_reader.cpp,src/oblib/common/log/ob_single_log_reader.h	270	oceanbase::common::ObSingleLogReader	yes
src/oblib/common/meta_programming/ob_meta_compare	src/oblib/common/meta_programming/ob_meta_compare.h	68	-	yes
src/oblib/common/meta_programming/ob_meta_copy	src/oblib/common/meta_programming/ob_meta_copy.h	143	-	yes
src/oblib/common/meta_programming/ob_meta_define	src/oblib/common/meta_programming/ob_meta_define.h	38	oceanbase::common::meta::DummyAllocator	yes
src/oblib/common/meta_programming/ob_meta_serialization	src/oblib/common/meta_programming/ob_meta_serialization.h	67	oceanbase::common::meta::MetaSerializer	yes
src/oblib/common/meta_programming/ob_meta_swap	src/oblib/common/meta_programming/ob_meta_swap.h	61	-	yes
src/oblib/common/meta_programming/ob_mover	src/oblib/common/meta_programming/ob_mover.h	60	oceanbase::common::meta::ObMover	yes
src/oblib/common/meta_programming/ob_type_traits	src/oblib/common/meta_programming/ob_type_traits.h	378	is_function_like	yes
src/oblib/common/mysqlclient/ob_isql_client	src/oblib/common/mysqlclient/ob_isql_client.cpp,src/oblib/common/mysqlclient/ob_isql_client.h	204	oceanbase::common::ObISQLClient	yes
src/oblib/common/mysqlclient/ob_isql_connection	src/oblib/common/mysqlclient/ob_isql_connection.h	161	oceanbase::common::sqlclient::ObISQLConnection	yes
src/oblib/common/mysqlclient/ob_isql_result_handler	src/oblib/common/mysqlclient/ob_isql_result_handler.h	43	oceanbase::common::sqlclient::ObISQLResultHandler	yes
src/oblib/common/mysqlclient/ob_mysql_global	src/oblib/common/mysqlclient/ob_mysql_global.h	435	-	yes
src/oblib/common/mysqlclient/ob_mysql_proxy	src/oblib/common/mysqlclient/ob_mysql_proxy.cpp,src/oblib/common/mysqlclient/ob_mysql_proxy.h	566	oceanbase::common::ObMySQLProxy	yes
src/oblib/common/mysqlclient/ob_mysql_result	src/oblib/common/mysqlclient/ob_mysql_result.cpp,src/oblib/common/mysqlclient/ob_mysql_result.h	1733	oceanbase::common::sqlclient::ObMySQLResult	yes
src/oblib/common/mysqlclient/ob_mysql_transaction	src/oblib/common/mysqlclient/ob_mysql_transaction.cpp,src/oblib/common/mysqlclient/ob_mysql_transaction.h	300	oceanbase::common::ObMySQLTransaction	yes
src/oblib/common/mysqlclient/ob_single_connection_proxy	src/oblib/common/mysqlclient/ob_single_connection_proxy.cpp,src/oblib/common/mysqlclient/ob_single_connection_proxy.h	212	oceanbase::common::ObSingleConnectionProxy	yes
src/oblib/common/number/ob_number_v2	src/oblib/common/number/ob_number_v2.cpp,src/oblib/common/number/ob_number_v2.h	10103	oceanbase::common::number::ObNumber	yes
src/oblib/common/ob_accuracy	src/oblib/common/ob_accuracy.cpp,src/oblib/common/ob_accuracy.h	442	oceanbase::common::ObAccuracy	yes
src/oblib/common/ob_action_flag	src/oblib/common/ob_action_flag.h	115	oceanbase::common::ObActionFlag	yes
src/oblib/common/ob_data_version_mgr	src/oblib/common/ob_data_version_mgr.cpp,src/oblib/common/ob_data_version_mgr.h	473	oceanbase::common::ObDataVersionMgr	yes
src/oblib/common/ob_field	src/oblib/common/ob_field.cpp,src/oblib/common/ob_field.h	494	oceanbase::common::ObField	yes
src/oblib/common/ob_file_common_header	src/oblib/common/ob_file_common_header.cpp,src/oblib/common/ob_file_common_header.h	301	oceanbase::common::ObFileCommonHeader	yes
src/oblib/common/ob_hex_utils_base	src/oblib/common/ob_hex_utils_base.cpp,src/oblib/common/ob_hex_utils_base.h	200	oceanbase::common::ObHexUtilsBase	yes
src/oblib/common/ob_range	src/oblib/common/ob_range.cpp,src/oblib/common/ob_range.h	972	oceanbase::common::ObNewVersionRange	yes
src/oblib/common/ob_record_header	src/oblib/common/ob_record_header.cpp,src/oblib/common/ob_record_header.h	345	oceanbase::common::ObRecordHeader	yes
src/oblib/common/ob_role	src/oblib/common/ob_role.cpp,src/oblib/common/ob_role.h	155	-	yes
src/oblib/common/ob_role_mgr	src/oblib/common/ob_role_mgr.h	166	ObRoleMgr	yes
src/oblib/common/ob_simple_iterator	src/oblib/common/ob_simple_iterator.h	116	oceanbase::common::ObSimpleIterator	yes
src/oblib/common/ob_store_format	src/oblib/common/ob_store_format.cpp,src/oblib/common/ob_store_format.h	224	oceanbase::common::ObStoreFormat	yes
src/oblib/common/ob_store_range	src/oblib/common/ob_common_types.h,src/oblib/common/ob_store_range.cpp,src/oblib/common/ob_store_range.h	685	oceanbase::common::ObStoreRange	yes
src/oblib/common/ob_string_buf	src/oblib/common/ob_string_buf.h,src/oblib/common/ob_string_buf.ipp	237	oceanbase::common::ObStringBufT	yes
src/oblib/common/ob_tablet_id	src/oblib/common/ob_tablet_id.cpp,src/oblib/common/ob_tablet_id.h	197	oceanbase::common::ObTabletID	yes
src/oblib/common/ob_timeout_ctx	src/oblib/common/ob_timeout_ctx.cpp,src/oblib/common/ob_timeout_ctx.h	240	oceanbase::common::ObTimeoutCtx	yes
src/oblib/common/ob_version_def	src/oblib/common/ob_version_def.cpp,src/oblib/common/ob_version_def.h	257	oceanbase::common::VersionUtil	yes
src/oblib/common/ob_zerofill_info	src/oblib/common/ob_zerofill_info.h	41	oceanbase::common::ObZerofillInfo	yes
src/oblib/common/object/ob_obj_compare	src/oblib/common/object/ob_obj_compare.cpp,src/oblib/common/object/ob_obj_compare.h	3958	oceanbase::common::ObObjCmpFuncs	yes
src/oblib/common/object/ob_obj_funcs	src/oblib/common/object/ob_obj_funcs.h	2664	oceanbase::common::ObObjTypeFuncs	yes
src/oblib/common/object/ob_obj_type	src/oblib/common/object/ob_obj_type.cpp,src/oblib/common/object/ob_obj_type.h	2550	-	yes
src/oblib/common/object/ob_object	src/oblib/common/object/ob_object.cpp,src/oblib/common/object/ob_object.h	6297	oceanbase::common::ObObj	yes
src/oblib/common/row/ob_row	src/oblib/common/row/ob_row.cpp,src/oblib/common/row/ob_row.h	555	oceanbase::common::ObNewRow	yes
