file	line	include	class	condition	in_repo_candidates
src/oblib/lib/allocator/ob_malloc.cpp	27	<malloc.h>	unresolved-external	defined(_WIN32)	
src/oblib/lib/allocator/ob_sanity_libc_wrap.cpp	26	<sanity/sanity.h>	unresolved-external	defined(ENABLE_SANITY)	
src/oblib/lib/allocator/ob_tc_malloc.cpp	21	<malloc.h>	unresolved-external	defined(__linux__)	
src/oblib/lib/allocator/ob_tc_malloc.cpp	26	<windows.h>	unresolved-external	defined(_WIN32)	
src/oblib/lib/allocator/ob_tc_malloc.cpp	27	<psapi.h>	unresolved-external	defined(_WIN32)	
src/oblib/lib/charset/ob_byteorder.h	23	<winsock2.h>	unresolved-external	defined(_WIN32)	
src/oblib/lib/charset/ob_byteorder.h	24	<ws2tcpip.h>	unresolved-external	defined(_WIN32)	
src/oblib/lib/charset/ob_ctype_uca.cc	21	"lib/charset/uca900_data.h"	unresolved-stale		
src/oblib/lib/charset/ob_ctype_uca.cc	22	"lib/charset/uca900_zh_data.h"	unresolved-stale		
src/oblib/lib/charset/ob_ctype_uca.cc	23	"lib/charset/uca900_ja_data.h"	unresolved-stale		
src/oblib/lib/charset/ob_ctype_uca.cc	24	"lib/charset/ob_ctype_uca_tab.h"	unresolved-stale		
src/oblib/lib/charset/ob_mysql_global.h	83	<malloc.h>	unresolved-external	!(!defined(_WIN32))	
src/oblib/lib/charset/ob_mysql_global.h	96	<crypt.h>	unresolved-external	defined(__linux__)	
src/oblib/lib/file/file_directory_utils.cpp	26	<windows.h>	unresolved-external	defined(_WIN32)	
src/oblib/lib/file/file_directory_utils.cpp	27	<direct.h>	unresolved-external	defined(_WIN32)	
src/oblib/lib/file/file_directory_utils.cpp	29	<io.h>	unresolved-external	defined(_WIN32)	
src/oblib/lib/file/ob_file.cpp	33	<windows.h>	unresolved-external	defined(_WIN32)	
src/oblib/lib/file/ob_file.cpp	35	<io.h>	unresolved-external	defined(_WIN32)	
src/oblib/lib/file/ob_file.cpp	36	<malloc.h>	unresolved-external	defined(_WIN32)	
src/oblib/lib/file/ob_file.h	34	<io.h>	unresolved-external	defined(_WIN32)	
src/oblib/lib/file/ob_file.h	39	<malloc.h>	unresolved-external	!(defined(_WIN32))	
src/oblib/lib/file/ob_file.h	69	<libaio.h>	unresolved-external	defined(__linux__)	
src/oblib/lib/file/ob_fileinfo_manager.h	24	<sys/vfs.h>	unresolved-external	defined(__linux__)	
src/oblib/lib/hash/ob_hashutils.h	29	<winsock2.h>	unresolved-external	!(!defined(_WIN32))	
src/oblib/lib/hash/ob_hashutils.h	30	<windows.h>	unresolved-external	!(!defined(_WIN32))	
src/oblib/lib/hash/ob_serialization.h	29	<io.h>	unresolved-external	!(!defined(_WIN32))	
src/oblib/lib/hash/ob_serialization.h	30	<process.h>	unresolved-external	!(!defined(_WIN32))	
src/oblib/lib/lock/ob_futex.cpp	19	<linux/futex.h>	unresolved-external	defined(__linux__)	
src/oblib/lib/lock/ob_futex.h	24	<linux/futex.h>	unresolved-external	defined(__linux__)	
src/oblib/lib/lock/ob_futex.h	30	<windows.h>	unresolved-external	defined(_WIN32)	
src/oblib/lib/lock/ob_small_spin_lock.h	24	<windows.h>	unresolved-external	defined(_WIN32)	
src/oblib/lib/net/ob_net_util.h	24	<winsock2.h>	unresolved-external	defined(_WIN32)	
src/oblib/lib/net/ob_net_util.h	25	<ws2tcpip.h>	unresolved-external	defined(_WIN32)	
src/oblib/lib/net/ob_net_util.h	26	<windows.h>	unresolved-external	defined(_WIN32)	
src/oblib/lib/net/ob_net_util.h	30	<iphlpapi.h>	unresolved-external	defined(_WIN32)	
src/oblib/lib/net/ob_net_util.h	49	<linux/unistd.h>	unresolved-external	defined(__linux__)	
src/oblib/lib/ob_abort.cpp	20	<windows.h>	unresolved-external	defined(_WIN32)	
src/oblib/lib/ob_define.h	42	<winsock2.h>	unresolved-external	!(!defined(_WIN32))	
src/oblib/lib/ob_define.h	43	<ws2tcpip.h>	unresolved-external	!(!defined(_WIN32))	
src/oblib/lib/ob_define.h	44	<processthreadsapi.h>	unresolved-external	!(!defined(_WIN32))	
src/oblib/lib/ob_define.h	45	<io.h>	unresolved-external	!(!defined(_WIN32))	
src/oblib/lib/ob_define.h	46	<direct.h>	unresolved-external	!(!defined(_WIN32))	
src/oblib/lib/oblog/ob_async_log_struct.h	26	<io.h>	unresolved-external	!(!defined(_WIN32))	
src/oblib/lib/oblog/ob_base_log_buffer.cpp	19	<windows.h>	unresolved-external	defined(_WIN32)	
src/oblib/lib/oblog/ob_base_log_writer.h	23	<sys/prctl.h>	unresolved-external	defined(__linux__)	
src/oblib/lib/oblog/ob_log.cpp	20	<windows.h>	unresolved-external	defined(_WIN32)	
src/oblib/lib/oblog/ob_log.cpp	26	<io.h>	unresolved-external	defined(_WIN32)	
src/oblib/lib/oblog/ob_log.cpp	27	<BaseTsd.h>	unresolved-external	defined(_WIN32)	
src/oblib/lib/oblog/ob_log.h	62	<sys/statfs.h>	unresolved-external	defined(__linux__)	
src/oblib/lib/oblog/ob_log_compressor.cpp	20	<windows.h>	unresolved-external	defined(_WIN32)	
src/oblib/lib/oblog/ob_log_compressor.cpp	25	<sys/utime.h>	unresolved-external	defined(_WIN32)	
src/oblib/lib/oblog/ob_log_print_kv.h	24	<io.h>	unresolved-external	defined(_WIN32)	
src/oblib/lib/resource/achunk_mgr.cpp	24	<windows.h>	unresolved-external	defined(_WIN32)	
src/oblib/lib/signal/ob_signal_handlers.cpp	30	<windows.h>	unresolved-external	!(!defined(_WIN32))	
src/oblib/lib/signal/ob_signal_handlers.cpp	34	<io.h>	unresolved-external	!(!defined(_WIN32))	
src/oblib/lib/signal/ob_signal_handlers.cpp	35	<process.h>	unresolved-external	!(!defined(_WIN32))	
src/oblib/lib/thread/ob_queue_thread.h	20	<sys/epoll.h>	unresolved-external	defined(__linux__)	
src/oblib/lib/thread/ob_simple_thread_pool.ipp	22	<windows.h>	unresolved-external	defined(_WIN32)	
src/oblib/lib/thread/ob_thread_hook.cpp	29	<sys/epoll.h>	unresolved-external	defined(__linux__)	
src/oblib/lib/thread/ob_thread_name.cpp	19	<sys/prctl.h>	unresolved-external	defined(__linux__)	
src/oblib/lib/thread/ob_thread_name.cpp	23	<windows.h>	unresolved-external	defined(_WIN32)	
src/oblib/lib/thread/protected_stack_allocator.cpp	22	<windows.h>	unresolved-external	defined(_WIN32)	
src/oblib/lib/thread/protected_stack_allocator.h	23	<BaseTsd.h>	unresolved-external	defined(_WIN32)	
src/oblib/lib/thread/thread.cpp	21	<windows.h>	unresolved-external	defined(_WIN32)	
src/oblib/lib/thread/thread.cpp	25	<io.h>	unresolved-external	defined(_WIN32)	
src/oblib/lib/thread/thread.cpp	26	<process.h>	unresolved-external	defined(_WIN32)	
src/oblib/lib/thread_local/ob_tsi_utils.h	26	<linux/futex.h>	unresolved-external	defined(__linux__)	
src/oblib/lib/time/Time.h	8	<winsock2.h>	unresolved-external	!(!defined(_WIN32))	
src/oblib/lib/time/Time.h	9	<windows.h>	unresolved-external	!(!defined(_WIN32))	
src/oblib/lib/time/ob_clock_generator.h	30	<windows.h>	unresolved-external	defined(_WIN32)	
src/oblib/lib/time/ob_clock_generator.h	31	<mmsystem.h>	unresolved-external	defined(_WIN32)	
src/oblib/lib/time/ob_time_utility.cpp	22	<windows.h>	unresolved-external	defined(_WIN32)	
src/oblib/lib/time/ob_tsc_timestamp.cpp	21	<windows.h>	unresolved-external	defined(_WIN32)	
src/oblib/lib/utility/ob_backtrace.cpp	21	<windows.h>	unresolved-external	defined(_WIN32)	
src/oblib/lib/utility/ob_backtrace.cpp	26	<dbghelp.h>	unresolved-external	defined(_WIN32)	
src/oblib/lib/utility/ob_common_utility.cpp	20	<windows.h>	unresolved-external	defined(_WIN32)	
src/oblib/lib/utility/ob_platform_utils.cpp	19	<windows.h>	unresolved-external	defined(_WIN32)	
src/oblib/lib/utility/ob_platform_utils.h	25	<winsock2.h>	unresolved-external	!(!defined(_WIN32))	
src/oblib/lib/utility/ob_platform_utils.h	26	<ws2tcpip.h>	unresolved-external	!(!defined(_WIN32))	
src/oblib/lib/utility/ob_platform_utils.h	27	<io.h>	unresolved-external	!(!defined(_WIN32))	
src/oblib/lib/utility/ob_platform_utils.h	28	<process.h>	unresolved-external	!(!defined(_WIN32))	
src/oblib/lib/utility/ob_platform_utils.h	55	<sys/prctl.h>	unresolved-external	defined(__linux__)	
src/oblib/lib/utility/ob_utility.cpp	19	<windows.h>	unresolved-external	defined(_WIN32)	
src/oblib/lib/utility/ob_utility.cpp	23	<io.h>	unresolved-external	defined(_WIN32)	
src/oblib/lib/utility/ob_utility.cpp	24	<BaseTsd.h>	unresolved-external	defined(_WIN32)	
src/oblib/lib/utility/utility.cpp	26	<gnu/libc-version.h>	unresolved-external	defined(__linux__)	
src/oblib/lib/utility/utility.cpp	31	<windows.h>	unresolved-external	defined(_WIN32)	
src/oblib/lib/utility/utility.cpp	35	<io.h>	unresolved-external	defined(_WIN32)	
src/oblib/lib/utility/utility.cpp	36	<sys/locking.h>	unresolved-external	defined(_WIN32)	
src/oblib/lib/utility/utility.cpp	37	<process.h>	unresolved-external	defined(_WIN32)	
src/oblib/lib/utility/utility.h	25	<winsock2.h>	unresolved-external	!(!defined(_WIN32))	
src/oblib/lib/utility/utility.h	26	<ws2tcpip.h>	unresolved-external	!(!defined(_WIN32))	
src/oblib/lib/utility/utility.h	27	<windows.h>	unresolved-external	!(!defined(_WIN32))	
src/oblib/rpc/obmysql/ob_sql_nio_server.cpp	23	<io.h>	unresolved-external	defined(_WIN32)	
src/observer/main.cpp	75	<sys/prctl.h>	unresolved-external	defined(__linux__)	
src/observer/main.cpp	82	<malloc.h>	unresolved-external	!(defined(__APPLE__))	
src/observer/main.cpp	89	<windows.h>	unresolved-external	defined(_WIN32)	
src/observer/main.cpp	356	<link.h>	unresolved-external	!(defined(_WIN32))	
src/observer/mysql/obmp_packet_sender.cpp	37	<windows.h>	unresolved-external	defined(_WIN32)	
src/observer/ob_command_line_parser.cpp	22	<windows.h>	unresolved-external	defined(_WIN32)	
src/observer/ob_server.cpp	25	<windows.h>	unresolved-external	!(!defined(_WIN32))	
src/observer/ob_server_utils.h	23	<windows.h>	unresolved-external	!(!defined(_WIN32))	
src/observer/ob_signal_handle.h	21	<windows.h>	unresolved-external	defined(_WIN32)	
src/observer/ob_win_service.h	22	<windows.h>	unresolved-external	defined(_WIN32)	
src/observer/report/ob_tablet_meta_checker.cpp	26	"observer/report/ob_tablet_table_updater.h"	unresolved-stale		
src/observer/virtual_table/ob_all_virtual_all_tables.cpp	18	"observer/virtual_table/ob_all_virtual_all_tables.h"	unresolved-stale		
src/pl/ob_pl_package_manager.cpp	20	<io.h>	unresolved-external	defined(_WIN32)	
src/query/api/query/parser/parse_node.h	28	"ob_sql_mode.h"	miss	defined(SQL_PARSER_COMPILATION)	src/oblib/common/sql_mode/ob_sql_mode.h
src/rootserver/dbms_job/ob_dbms_job_master.cpp	23	<windows.h>	unresolved-external	defined(_WIN32)	
src/share/config/ob_config_helper.h	21	<winsock2.h>	unresolved-external	defined(_WIN32)	
src/share/config/ob_config_helper.h	22	<ws2tcpip.h>	unresolved-external	defined(_WIN32)	
src/share/io/ob_io_calibration.cpp	25	<windows.h>	unresolved-external	defined(_WIN32)	
src/share/io/ob_io_struct.h	39	<windows.h>	unresolved-external	defined(_WIN32)	
src/share/io/ob_io_struct.h	40	<psapi.h>	unresolved-external	defined(_WIN32)	
src/share/ob_define.h	29	<features.h>	unresolved-external	defined(__linux__)	
src/share/ob_io_device_helper.cpp	29	<windows.h>	unresolved-external	defined(_WIN32)	
src/share/ob_io_device_helper.cpp	30	<io.h>	unresolved-external	defined(_WIN32)	
src/share/ob_io_device_helper.cpp	44	<sys/vfs.h>	unresolved-external	!(defined(_WIN32))	
src/share/ob_local_device.cpp	47	<windows.h>	unresolved-external	defined(_WIN32)	
src/share/ob_local_device.cpp	48	<io.h>	unresolved-external	defined(_WIN32)	
src/share/ob_local_device.cpp	53	<sys/vfs.h>	unresolved-external	defined(__ANDROID__)	
src/share/ob_local_device.cpp	54	<linux/falloc.h>	unresolved-external	defined(__ANDROID__)	
src/share/ob_local_device.cpp	56	<sys/vfs.h>	unresolved-external	defined(__linux__)	
src/share/ob_local_device.cpp	57	<linux/falloc.h>	unresolved-external	defined(__linux__)	
src/share/ob_local_device.cpp	58	<libaio.h>	unresolved-external	defined(__linux__)	
src/share/ob_local_device.h	21	<libaio.h>	unresolved-external	defined(__linux__) && !defined(__ANDROID__)	
src/share/ob_statvfs_win32.h	22	<windows.h>	unresolved-external	defined(_WIN32)	
src/share/ob_telemetry.cpp	36	<direct.h>	unresolved-external	defined(_WIN32)	
src/share/ob_telemetry.cpp	37	<io.h>	unresolved-external	defined(_WIN32)	
src/share/ob_telemetry.cpp	38	<windows.h>	unresolved-external	defined(_WIN32)	
src/share/redolog/ob_log_file_group.cpp	20	<windows.h>	unresolved-external	defined(_WIN32)	
src/sql/engine/expr/ob_expr_uuid.cpp	19	<winsock2.h>	unresolved-external	defined(_WIN32)	
src/sql/engine/expr/ob_expr_uuid.cpp	20	<windows.h>	unresolved-external	defined(_WIN32)	
src/sql/engine/expr/ob_expr_uuid.cpp	24	<iphlpapi.h>	unresolved-external	defined(_WIN32)	
src/sql/engine/expr/ob_expr_uuid.cpp	33	<linux/if_packet.h>	unresolved-external	defined(__ANDROID__)	
src/sql/resolver/cmd/ob_load_data_resolver.cpp	23	<windows.h>	unresolved-external	defined(_WIN32)	
src/sql/resolver/cmd/ob_load_data_resolver.cpp	24	<shlwapi.h>	unresolved-external	defined(_WIN32)	
src/standby/ob_standby_grpc.h	24	<winsock2.h>	unresolved-external	defined(_WIN32)	
src/standby/ob_standby_grpc.h	25	<windows.h>	unresolved-external	defined(_WIN32)	
src/standby/ob_standby_grpc.h	34	<mswsock.h>	unresolved-external	defined(_WIN32)	
src/standby/restore/ob_restore_helper_ctx.h	24	<winsock2.h>	unresolved-external	defined(_WIN32)	
src/standby/restore/ob_restore_helper_ctx.h	25	<windows.h>	unresolved-external	defined(_WIN32)	
src/standby/restore/ob_restore_helper_ctx.h	34	<mswsock.h>	unresolved-external	defined(_WIN32)	
src/storage/ddl/ob_ddl_heart_beat_task.cpp	23	<windows.h>	unresolved-external	defined(_WIN32)	
src/storage/ob_order_perserving_encoder.cpp	21	<byteswap.h>	unresolved-external	defined(__linux__)	
src/storage/slog_ckpt/ob_local_storage_checkpoint_slog_handler.cpp	34	<windows.h>	unresolved-external	defined(_WIN32)	
src/storage/tmp_file/ob_i_tmp_file_manager.cpp	22	<windows.h>	unresolved-external	defined(_WIN32)	
tools/codestyle/sample/ob_style_example.cpp	17	"common/ob_style_example.h"	unresolved-stale		
tools/codestyle/sample/ob_style_example.cpp	27	"common/errno.h"	unresolved-stale		
tools/ob_error/test/test_ob_error.cpp	17	<gtest/gtest.h>	unresolved-external		
