# prefix	crate
src/data_plane/api/data_plane/vector/ob_vector_l2_distance	ob-simd
src/data_plane/api/data_plane/vector/ob_vector_ip_distance	ob-simd
src/data_plane/api/data_plane/vector/ob_vector_cosine_distance	ob-simd
src/data_plane/api/data_plane/vector/ob_vector_l1_distance	ob-simd
src/data_plane/api/data_plane/vector/ob_sparse_vector_ip_distance	ob-simd
src/oblib/lib/compress/zstd_1_3_8/zstd_src	ob-clib-sys
src/share/ob_define	ob-base
src/observer/vector_index/ob_vector_index_util	storage-search
src/query/api/query/vector/ob_vector_index_util	storage-search
src/query/api/query/monitor/ob_monitor_node	sql-ir
src/sql/monitor/ob_monitor_node	sql-ir
src/share/ob_rpc_struct	ob-schema
src/share/ob_ddl_common	ob-schema
src/share/ob_autoincrement_service	ob-schema
src/sql/engine/basic/ob_chunk_row_store	sql-exec
src/sql/engine/basic/ob_temp_block_store	sql-exec
src/sql/engine/basic/ob_ra_datum_store	sql-exec
src/sql/engine/basic/ob_ra_row_store	sql-exec
src/sql/engine/basic/ob_temp_column_store	sql-exec
src/share/vector/ob_bit_vector	ob-values
src/sql/executor/ob_memory_tracker	ob-base	allocator
src/sql/parser/parse_malloc	sql-parser-sys
src/sql/parser/ob_memory_tracker_wrapper	sql-parser-sys
src/sql/parser/ob_parser_charset_utils	sql-parser-sys
src/sql/parser/parser_utility	sql-parser-sys
src/sql/parser/parse_node_hash	sql-parser-sys
tools/ob_error/src	ob-errno	bin
